BioSample_s	SAMN01163983	SAMN01163984	SAMN01163985	SAMN01163986	SAMN01163988	SAMN01163989	SAMN01163990	SAMN01163991	SAMN01163992	SAMN01163993	SAMN01163994	SAMN01163995	SAMN01163996	SAMN01163997	SAMN01163998	SAMN01163999	SAMN01164000	SAMN01164001	SAMN01164002	SAMN01164003	SAMN01164004	SAMN01164005	SAMN01164006	SAMN01164007	SAMN01164008	SAMN01164009	SAMN01164010	SAMN01164011	SAMN01164012	SAMN01164013	SAMN01164014	SAMN01164015	SAMN01164016	SAMN01164017	SAMN01164018	SAMN01164019	SAMN01164020	SAMN01164021	SAMN01164022	SAMN01164023	SAMN01164024	SAMN01164025	SAMN01164026	SAMN01164028	SAMN01164029	SAMN01164030	SAMN01164031	SAMN01164032	SAMN01164033	SAMN01164034	SAMN01164035	SAMN01164036	SAMN01164037	SAMN01164051	SAMN01164056	SAMN01164057	SAMN01164058	SAMN01164059	SAMN01164060	SAMN01164062	SAMN01164063	SAMN01164064	SAMN01164065	SAMN01164066	SAMN01164067	SAMN01164068	SAMN01164073	SAMN01164074	SAMN01164075	SAMN01164076	SAMN01164077	SAMN01164078
Experiment_s	SRX185941	SRX185942	SRX185943	SRX185944	SRX185945	SRX185947	SRX185948	SRX185949	SRX185950	SRX185951	SRX185952	SRX185953	SRX185954	SRX185955	SRX185956	SRX185957	SRX185958	SRX185959	SRX185960	SRX185961	SRX185962	SRX185963	SRX185964	SRX185965	SRX185966	SRX185967	SRX185968	SRX185969	SRX185970	SRX185971	SRX185972	SRX185973	SRX185974	SRX185975	SRX185976	SRX185977	SRX185978	SRX185979	SRX185980	SRX185981	SRX185982	SRX185983	SRX185984	SRX185986	SRX185987	SRX185988	SRX185989	SRX185990	SRX185991	SRX185992	SRX185993	SRX185994	SRX185995	SRX185996	SRX185997	SRX185998	SRX185999	SRX186000	SRX186001	SRX186002	SRX186003	SRX186004	SRX186005	SRX186006	SRX186007	SRX186008	SRX186014	SRX186015	SRX186017	SRX186018	SRX186020	SRX186021
LoadDate_s	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-10	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11	2012-09-11
MBases_l	2	2	3	1	0	4	1	2	1	2	1	1	6	1	0	0	1	0	2	2	0	0	0	2	0	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	7	1	1	0	0	0	1	1	0	0	0	3	2	3	0	5	1	3	2	1	1	1	3	1
MBytes_l	6	7	9	4	1	10	2	6	3	6	3	3	15	2	1	1	4	1	5	5	1	2	1	6	1	3	3	5	3	4	2	5	3	4	7	4	4	4	4	3	3	4	4	3	7	4	3	5	17	4	4	2	1	1	4	2	2	1	1	8	5	8	2	13	2	8	6	3	3	3	9	4
Run_s	SRR567309	SRR567313	SRR567314	SRR567315	SRR567316	SRR567317	SRR567318	SRR567319	SRR567320	SRR567321	SRR567322	SRR567323	SRR567324	SRR567325	SRR567326	SRR567327	SRR567328	SRR567329	SRR567330	SRR567331	SRR567332	SRR567333	SRR567334	SRR567335	SRR567336	SRR567337	SRR567338	SRR567339	SRR567340	SRR567341	SRR567342	SRR567343	SRR567344	SRR567345	SRR567346	SRR567347	SRR567348	SRR567349	SRR567350	SRR567351	SRR567352	SRR567353	SRR567354	SRR567356	SRR567357	SRR567358	SRR567359	SRR567360	SRR567361	SRR567362	SRR567363	SRR567364	SRR567365	SRR567366	SRR567367	SRR567368	SRR567369	SRR567370	SRR567371	SRR567372	SRR567373	SRR567374	SRR567375	SRR567376	SRR567377	SRR567378	SRR567383	SRR567384	SRR567386	SRR567387	SRR567388	SRR567389
SRA_Sample_s	SRS362093	SRS362094	SRS362095	SRS362096	SRS362098	SRS362099	SRS362100	SRS362101	SRS362102	SRS362103	SRS362104	SRS362105	SRS362106	SRS362107	SRS362108	SRS362109	SRS362110	SRS362111	SRS362112	SRS362113	SRS362114	SRS362115	SRS362116	SRS362117	SRS362118	SRS362119	SRS362120	SRS362121	SRS362122	SRS362123	SRS362124	SRS362125	SRS362126	SRS362127	SRS362128	SRS362129	SRS362130	SRS362131	SRS362132	SRS362133	SRS362134	SRS362135	SRS362136	SRS362138	SRS362139	SRS362140	SRS362141	SRS362142	SRS362143	SRS362144	SRS362145	SRS362146	SRS362147	SRS362161	SRS362166	SRS362167	SRS362168	SRS362169	SRS362170	SRS362172	SRS362173	SRS362174	SRS362175	SRS362176	SRS362177	SRS362178	SRS362183	SRS362184	SRS362185	SRS362186	SRS362187	SRS362188
Assay_Type_s	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON
AssemblyName_s	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>
BioProject_s	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838	PRJNA174838
Center_Name_s	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC	KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC
Consent_s	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public
InsertSize_l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LibraryLayout_s	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE
LibrarySelection_s	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR
LibrarySource_s	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER
Library_Name_s	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>
Organism_s	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome
