instrument_model	454 GS FLX Titanium	454 GS FLX Titanium.1	454 GS FLX Titanium.2	454 GS FLX Titanium.3	454 GS FLX Titanium.4	454 GS FLX Titanium.5	454 GS FLX Titanium.6	454 GS FLX Titanium.7	454 GS FLX Titanium.8	454 GS FLX Titanium.9	454 GS FLX Titanium.10	454 GS FLX Titanium.11	454 GS FLX Titanium.12	454 GS FLX Titanium.13	454 GS FLX Titanium.14	454 GS FLX Titanium.15	454 GS FLX Titanium.16	454 GS FLX Titanium.17	454 GS FLX Titanium.18	454 GS FLX Titanium.19	454 GS FLX Titanium.20	454 GS FLX Titanium.21	454 GS FLX Titanium.22	454 GS FLX Titanium.23	454 GS FLX Titanium.24	454 GS FLX Titanium.25	454 GS FLX Titanium.26	454 GS FLX Titanium.27	454 GS FLX Titanium.28	454 GS FLX Titanium.29	454 GS FLX Titanium.30	454 GS FLX Titanium.31	454 GS FLX Titanium.32	454 GS FLX Titanium.33	454 GS FLX Titanium.34	454 GS FLX Titanium.35	454 GS FLX Titanium.36	454 GS FLX Titanium.37	454 GS FLX Titanium.38	454 GS FLX Titanium.39	454 GS FLX Titanium.40	454 GS FLX Titanium.41	454 GS FLX Titanium.42	454 GS FLX Titanium.43	454 GS FLX Titanium.44	454 GS FLX Titanium.45	454 GS FLX Titanium.46	454 GS FLX Titanium.47	454 GS FLX Titanium.48	454 GS FLX Titanium.49	454 GS FLX Titanium.50	454 GS FLX Titanium.51	454 GS FLX Titanium.52	454 GS FLX Titanium.53	454 GS FLX Titanium.54	454 GS FLX Titanium.55	454 GS FLX Titanium.56	454 GS FLX Titanium.57	454 GS FLX Titanium.58	454 GS FLX Titanium.59	454 GS FLX Titanium.60	454 GS FLX Titanium.61	454 GS FLX Titanium.62	454 GS FLX Titanium.63	454 GS FLX Titanium.64	454 GS FLX Titanium.65	454 GS FLX Titanium.66	454 GS FLX Titanium.67	454 GS FLX Titanium.68	454 GS FLX Titanium.69	454 GS FLX Titanium.70	454 GS FLX Titanium.71	454 GS FLX Titanium.72	454 GS FLX Titanium.73	454 GS FLX Titanium.74	454 GS FLX Titanium.75	454 GS FLX Titanium.76	454 GS FLX Titanium.77	454 GS FLX Titanium.78	454 GS FLX Titanium.79	454 GS FLX Titanium.80	454 GS FLX Titanium.81	454 GS FLX Titanium.82	454 GS FLX Titanium.83	454 GS FLX Titanium.84	454 GS FLX Titanium.85	454 GS FLX Titanium.86	454 GS FLX Titanium.87	454 GS FLX Titanium.88	454 GS FLX Titanium.89	454 GS FLX Titanium.90	454 GS FLX Titanium.91	454 GS FLX Titanium.92	454 GS FLX Titanium.93	454 GS FLX Titanium.94	454 GS FLX Titanium.95	454 GS FLX Titanium.96	454 GS FLX Titanium.97	454 GS FLX Titanium.98	454 GS FLX Titanium.99	454 GS FLX Titanium.100	454 GS FLX Titanium.101	454 GS FLX Titanium.102	454 GS FLX Titanium.103	454 GS FLX Titanium.104	454 GS FLX Titanium.105	454 GS FLX Titanium.106	454 GS FLX Titanium.107	454 GS FLX Titanium.108	454 GS FLX Titanium.109	454 GS FLX Titanium.110	454 GS FLX Titanium.111	454 GS FLX Titanium.112	454 GS FLX Titanium.113	454 GS FLX Titanium.114	454 GS FLX Titanium.115	454 GS FLX Titanium.116	454 GS FLX Titanium.117	454 GS FLX Titanium.118	454 GS FLX Titanium.119	454 GS FLX Titanium.120	454 GS FLX Titanium.121	454 GS FLX Titanium.122	454 GS FLX Titanium.123	454 GS FLX Titanium.124	454 GS FLX Titanium.125	454 GS FLX Titanium.126	454 GS FLX Titanium.127	454 GS FLX Titanium.128	454 GS FLX Titanium.129	454 GS FLX Titanium.130	454 GS FLX Titanium.131	454 GS FLX Titanium.132	454 GS FLX Titanium.133	454 GS FLX Titanium.134	454 GS FLX Titanium.135	454 GS FLX Titanium.136	454 GS FLX Titanium.137	454 GS FLX Titanium.138	454 GS FLX Titanium.139	454 GS FLX Titanium.140	454 GS FLX Titanium.141	454 GS FLX Titanium.142	454 GS FLX Titanium.143	454 GS FLX Titanium.144	454 GS FLX Titanium.145	454 GS FLX Titanium.146	454 GS FLX Titanium.147
study_condition	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR	PAR
scientific_name	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome
study_accession	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927	PRJEB4927
secondary_study_accession	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264	ERP004264
sample_accession	SAMEA2242207	SAMEA2242208	SAMEA2242209	SAMEA2242210	SAMEA2242211	SAMEA2242212	SAMEA2242213	SAMEA2242214	SAMEA2242215	SAMEA2242216	SAMEA2242217	SAMEA2242271	SAMEA2242272	SAMEA2242273	SAMEA2242274	SAMEA2242275	SAMEA2242276	SAMEA2242277	SAMEA2242278	SAMEA2242279	SAMEA2242280	SAMEA2242281	SAMEA2242292	SAMEA2242293	SAMEA2242294	SAMEA2242295	SAMEA2242296	SAMEA2242297	SAMEA2242298	SAMEA2242299	SAMEA2242300	SAMEA2242301	SAMEA2242302	SAMEA2242316	SAMEA2242317	SAMEA2242318	SAMEA2242319	SAMEA2242320	SAMEA2242321	SAMEA2242322	SAMEA2242323	SAMEA2242324	SAMEA2242325	SAMEA2242326	SAMEA2242353	SAMEA2242354	SAMEA2242355	SAMEA2242356	SAMEA2242357	SAMEA2242358	SAMEA2242359	SAMEA2242360	SAMEA2242361	SAMEA2242362	SAMEA2242363	SAMEA2242369	SAMEA2242370	SAMEA2242371	SAMEA2242372	SAMEA2242373	SAMEA2242374	SAMEA2242375	SAMEA2242376	SAMEA2242377	SAMEA2242378	SAMEA2242379	SAMEA2242401	SAMEA2242402	SAMEA2242403	SAMEA2242404	SAMEA2242405	SAMEA2242406	SAMEA2242407	SAMEA2242408	SAMEA2242409	SAMEA2242410	SAMEA2242411	SAMEA2242434	SAMEA2242435	SAMEA2242436	SAMEA2242437	SAMEA2242438	SAMEA2242439	SAMEA2242440	SAMEA2242441	SAMEA2242442	SAMEA2242443	SAMEA2242444	SAMEA2242478	SAMEA2242479	SAMEA2242480	SAMEA2242481	SAMEA2242482	SAMEA2242483	SAMEA2242484	SAMEA2242485	SAMEA2242486	SAMEA2242487	SAMEA2242488	SAMEA2241935	SAMEA2241936	SAMEA2241937	SAMEA2241938	SAMEA2241939	SAMEA2241940	SAMEA2241941	SAMEA2241942	SAMEA2241943	SAMEA2241944	SAMEA2241945	SAMEA2241957	SAMEA2241951	SAMEA2241952	SAMEA2241953	SAMEA2241954	SAMEA2241955	SAMEA2241956	SAMEA2241958	SAMEA2241959	SAMEA2241960	SAMEA2241961	SAMEA2241962	SAMEA2241963	SAMEA2241964	SAMEA2241965	SAMEA2241966	SAMEA2241967	SAMEA2241999	SAMEA2242032	SAMEA2242033	SAMEA2242034	SAMEA2242035	SAMEA2242036	SAMEA2242037	SAMEA2242038	SAMEA2242039	SAMEA2242040	SAMEA2242041	SAMEA2242000	SAMEA2242001	SAMEA2242002	SAMEA2242003	SAMEA2242004	SAMEA2242005	SAMEA2242006	SAMEA2242007	SAMEA2242008	SAMEA2242706
